figure,panel,setting_or_source,model,method,metric,value
main_results_overview,a-b,Given evidence,,Direct,accuracy,0.8974358974358975
main_results_overview,a-b,Given evidence,,Direct,main,0.5948717948717949
main_results_overview,a-b,Given evidence,,Direct,required_recall,0.8017632949365389
main_results_overview,a-b,Given evidence,,Direct,required_precision,0.8505584192439866
main_results_overview,a-b,Given evidence,,CoT,accuracy,0.9128205128205128
main_results_overview,a-b,Given evidence,,CoT,main,0.6128205128205129
main_results_overview,a-b,Given evidence,,CoT,required_recall,0.8083476776924908
main_results_overview,a-b,Given evidence,,CoT,required_precision,0.8522279348757499
main_results_overview,a-b,Given evidence,,ReAct,accuracy,0.9153846153846154
main_results_overview,a-b,Given evidence,,ReAct,main,0.6538461538461539
main_results_overview,a-b,Given evidence,,ReAct,required_recall,0.8266941987905198
main_results_overview,a-b,Given evidence,,ReAct,required_precision,0.8502136752136754
main_results_overview,a-b,Given evidence,,EDL,accuracy,0.8974358974358975
main_results_overview,a-b,Given evidence,,EDL,main,0.7846153846153846
main_results_overview,a-b,Given evidence,,EDL,required_recall,0.9349948725551734
main_results_overview,a-b,Given evidence,,EDL,required_precision,0.7974230415972494
main_results_overview,a-b,Evidence seeking,,ReAct,accuracy,0.9282051282051282
main_results_overview,a-b,Evidence seeking,,ReAct,main,0.6538461538461539
main_results_overview,a-b,Evidence seeking,,ReAct,required_recall,0.7727605312877427
main_results_overview,a-b,Evidence seeking,,ReAct,required_precision,0.7855184233076262
main_results_overview,a-b,Evidence seeking,,EDL,accuracy,0.882051282051282
main_results_overview,a-b,Evidence seeking,,EDL,main,0.7282051282051282
main_results_overview,a-b,Evidence seeking,,EDL,required_recall,0.8996239276563748
main_results_overview,a-b,Evidence seeking,,EDL,required_precision,0.8188425463425463
source_stratified_heatmap,heatmap,SciFact,,ReAct,accuracy,0.9925925925925926
source_stratified_heatmap,heatmap,SciFact,,ReAct,main,0.8592592592592593
source_stratified_heatmap,heatmap,SciFact,,ReAct,required_recall,0.8740740740740741
source_stratified_heatmap,heatmap,SciFact,,ReAct,search_recall,0
source_stratified_heatmap,heatmap,SciFact,,ReAct,read_recall,0.9851851851851852
source_stratified_heatmap,heatmap,SciFact,,EDL,accuracy,0.9481481481481482
source_stratified_heatmap,heatmap,SciFact,,EDL,main,0.8740740740740741
source_stratified_heatmap,heatmap,SciFact,,EDL,required_recall,0.9333333333333333
source_stratified_heatmap,heatmap,SciFact,,EDL,search_recall,0.9666666666666667
source_stratified_heatmap,heatmap,SciFact,,EDL,read_recall,0.9666666666666667
source_stratified_heatmap,heatmap,PubMedQA,,ReAct,accuracy,0.912
source_stratified_heatmap,heatmap,PubMedQA,,ReAct,main,0.912
source_stratified_heatmap,heatmap,PubMedQA,,ReAct,required_recall,1
source_stratified_heatmap,heatmap,PubMedQA,,ReAct,search_recall,0
source_stratified_heatmap,heatmap,PubMedQA,,ReAct,read_recall,1
source_stratified_heatmap,heatmap,PubMedQA,,EDL,accuracy,0.768
source_stratified_heatmap,heatmap,PubMedQA,,EDL,main,0.768
source_stratified_heatmap,heatmap,PubMedQA,,EDL,required_recall,1
source_stratified_heatmap,heatmap,PubMedQA,,EDL,search_recall,1
source_stratified_heatmap,heatmap,PubMedQA,,EDL,read_recall,1
source_stratified_heatmap,heatmap,NLI4CT,,ReAct,accuracy,0.8769230769230769
source_stratified_heatmap,heatmap,NLI4CT,,ReAct,main,0.19230769230769232
source_stratified_heatmap,heatmap,NLI4CT,,ReAct,required_recall,0.4490508246324582
source_stratified_heatmap,heatmap,NLI4CT,,ReAct,search_recall,0.1796143671143671
source_stratified_heatmap,heatmap,NLI4CT,,ReAct,read_recall,0.7034363576850968
source_stratified_heatmap,heatmap,NLI4CT,,EDL,accuracy,0.9230769230769231
source_stratified_heatmap,heatmap,NLI4CT,,EDL,main,0.5384615384615384
